😂	face with tears of joy	crying|face|feels|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|tear|with|tears|of
❤️	red heart	emotion|heart|love|red
😍	smiling face with heart-eyes	143|bae|eye|face|feels|heart-eyes|hearts|ily|kisses|love|romance|romantic|smile|xoxo|smiling|with
🤣	rolling on the floor laughing	crying|face|floor|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|rolling|tear|on|the|laughing
😊	smiling face with smiling eyes	blush|eye|eyes|face|glad|satisfied|smile|smiling|with
🙏	folded hands	appreciate|ask|beg|blessed|bow|cmon|five|folded|gesture|hand|high|please|pray|thanks|thx|hands
💕	two hearts	143|anniversary|date|dating|emotion|heart|hearts|ily|kisses|love|loving|two|xoxo
😭	loudly crying face	bawling|cry|crying|face|loudly|sad|sob|tear|tears|unhappy
😘	face blowing a kiss	adorbs|bae|blowing|face|flirt|heart|ily|kiss|love|lover|miss|muah|romantic|smooch|xoxo|you
👍	thumbs up	+1|good|hand|like|thumb|up|yes|thumbs
😅	grinning face with sweat	cold|dejected|excited|face|grinning|mouth|nervous|open|smile|smiling|stress|stressed|sweat|with
👏	clapping hands	applause|approval|awesome|clap|congrats|congratulations|excited|good|great|hand|homie|job|nice|prayed|well|yay|clapping|hands
😁	beaming face with smiling eyes	beaming|eye|eyes|face|grin|grinning|happy|nice|smile|smiling|teeth|with
♥️	heart suit	card|emotion|game|heart|hearts|suit
🔥	fire	af|burn|flame|hot|lit|litaf|tool
💔	broken heart	break|broken|crushed|emotion|heart|heartbroken|lonely|sad
💖	sparkling heart	143|emotion|excited|good|heart|ily|kisses|morning|night|sparkle|sparkling|xoxo
💙	blue heart	143|blue|emotion|heart|ily|love|romance
😢	crying face	awful|cry|crying|face|feels|miss|sad|tear|triste|unhappy
🤔	thinking face	chin|consider|face|hmm|ponder|pondering|thinking|wondering
😆	grinning squinting face	closed|eyes|face|grinning|haha|hahaha|happy|laugh|lol|mouth|open|rofl|smile|smiling|squinting
🙄	face with rolling eyes	eyeroll|eyes|face|rolling|shade|ugh|whatever|with
💪	flexed biceps	arm|beast|bench|biceps|bodybuilder|bro|curls|flex|gains|gym|jacked|muscle|press|ripped|strong|weightlift|flexed
😉	winking face	face|flirt|heartbreaker|sexy|slide|tease|wink|winking|winks
☺️	smiling face	face|happy|outlined|relaxed|smile|smiling
👌	ok hand	awesome|bet|dope|fleek|fosho|got|gotcha|hand|legit|ok|okay|pinch|rad|sure|sweet|three
🤗	smiling face with open hands	face|hands|hug|hugging|open|smiling|with
💜	purple heart	143|bestest|emotion|heart|ily|love|purple
😔	pensive face	awful|bored|dejected|died|disappointed|face|losing|lost|pensive|sad|sucks
