id	text
en01	can you pick up the kids at 4:30 and text me when you get there
en02	I'll be about 15 minutes late, the train is delayed again
en03	Send the invoice to accounts by Friday please, the reference is JK492
en04	Do you want to grab dinner at that Thai place on Anderson Street
en05	The meeting moved to Tuesday, so I rescheduled the dentist.
en06	My flight lands at 11:40 at the terminal two, I'll message you when I'm through customs
tw01	我大概七點到家你先吃不用等我
tw02	明天早上10點的會議改到下午三點了
tw03	幫我買一杯珍珠奶茶微糖少冰謝謝
tw04	週末要不要一起去陽明山走走
tw05	我剛剛把資料傳到你的信箱了你收到再跟我說
tw06	請問這附近有沒有停車場？
cn01	今天下午3:00开会你记得把报告带上
cn02	地铁10号线了我可能要迟到20分钟
cn03	帮我点份麻辣烫不要香菜多加豆腐
cn04	这个方案我看过了整体没问题细节明天再讨论
cn05	周末我们去爬山吧天气预报说是晴天
cn06	你把地址发给我，我打车过去。
mx01	我明天要去明天大概多少结束
mx02	这个包裹我已经好了你退下的
mx03	帮我张明天飞Tokyo的机票
mx04	可以帮我看一下这个我下午要
mx05	我在Costco你要不要word什么
mx06	那个短袖哪发
